Item,2012 - Qty. - TMT,2012 - Value - Rs. Crore,2012 - Value - Million USD,2013 - Qty. - TMT,2013 - Value - Rs. Crore,2013 - Value - Million USD,2014 - Qty. - TMT,2014 - Value - Rs. Crore,2014 - Value - Million USD,2015 - Qty. - TMT,2015 - Value - Rs. Crore,2015 - Value - Million USD,2016 - Qty. - TMT,2016 - Value - Rs. Crore,2016 - Value - Million USD,2017 (P) - Qty. - TMT,2017 (P) - Value - Rs. Crore,2017 (P) - Value - Million USD
Imports - Crude Oil Import,184173,783418,146882,189351,846591,144359,188772,798637,130998,196490,446469,69658,215376,415672,61889,216445,528345,81338
Product Import - LPG,6556,33266,6247,6016,32802,5522,8050,41177,6774,8901,27110,4203,10197,26139,3870,11888,40241,6155
Product Import - Petrol,147,891,160,235,1481,248,328,2115,346,984,4157,643,549,1854,274,174,581,91
Product Import - Naphtha,1861,9731,1809,1177,6789,1138,623,3665,597,2797,9624,1492,2926,8243,1218,1879,6579,1002
Product Import - Aviation Turbine Fuel,0,0,0,0,0,0,90,513,83,273,919,142,333,1010,149,273,1039,158
Product Import - Kerosene,0,0,0,0,0,0,30,172,29,41,158,25,0,0,0,0,0,0
Product Import - Diesel,783,4029,766,81,453,76,108,637,103,72,406,63,975,2685,399,1436,4476,688
Product Import - Lubes,1885,10892,2022,1927,11664,1965,2329,14514,2362,2086,9480,1465,2257,8601,1270,2303,10274,1568
Product Import - Fuel Oil,972,3939,741,1332,5622,936,1049,4546,759,948,2422,377,1150,1980,293,944,2384,365
Product Import - Bitumen,100,263,50,171,528,91,433,1506,243,856,1979,307,887,1443,213,911,1725,263
Product Import - Petcoke,3071,3139,581,3339,3719,623,5493,5217,845,8307,5497,851,14710,7220,1066,13558,10626,1623
Product Import - Others,1102,4760,886,1487,6590,1110,1599,6989,1133,1705,5167,800,2033,4810,712,2314,6836,1046
Product Import,16477,70909,13261,15765,69648,11708,20131,81050,13274,26971,66918,10368,36016,63984,9465,35681,84762,12959
Total Import,200649,854328,160144,205116,916239,156067,208903,879687,144272,223461,513387,80026,251392,479657,71354,252126,613106,94297
Product Export - LPG,195,1231,229,213,1393,236,239,1640,266,217,918,144,291,1023,151,348,1430,218
Product Export - MS/Petrol,16098,91260,17084,15874,95263,16317,15942,91334,14994,15893,59681,9300,16150,51224,7625,14262,53588,8226
Product Export - Naphtha/NGL,9035,44765,8420,8496,45965,7811,7397,38299,6267,6708,20160,3140,8417,21683,3220,8907,27885,4280
Product Export - Aviation Turbine Fuel,4153,22225,4149,5716,32482,5524,5300,28108,4600,5253,16792,2621,7489,20813,3096,6968,23209,3564
Product Export - SKO/Kerosene,29,173,33,16,98,17,14,90,15,12,50,8,15,48,7,17,65,10
Product Export - HSD/Diesel,21294,111708,20908,25997,142665,24102,25756,130712,21417,23160,71693,11189,27892,73678,10963,28867,92679,14246
Product Export - LDO,26,115,22,22,102,16,14,63,10,0,0,0,20,52,8,149,384,57
Product Export - LOBS/Lube Oil,75,470,85,19,150,24,12,93,18,19,130,21,13,110,16,13,111,17
Product Export - Fuel Oil/LSHS,6480,22583,4271,6281,22573,3806,5187,17378,2832,3154,5592,874,2439,3786,560,2363,4756,731
Product Export - Bitumen,65,215,40,108,363,61,74,216,35,107,206,31,57,52,9,61,109,17
Product Export - Petcoke/CBFS,1129,2533,477,2111,4892,814,642,1824,298,669,599,93,608,830,124,692,688,106
Product Export - Others,2969,13529,2518,3842,18367,3122,3761,17977,2950,3419,10056,1575,2551,6631,986,3954,10396,1586
Total Product Export,61548,310805,58236,68696,364314,61851,64337,327734,53703,58611,185878,28995,65942,179930,26765,66601,215300,33059
Net Import,139102,543522,101908,136419,551925,94216,144566,551953,90569,164850,327509,51031,185451,299727,44589,185525,397806,61239